,Name,date,user_friendly_date,Title
754,2017-05-15_Japa Talk_Secret of attracting dinabandu into our hearts_HG RSP.mp3,2017-05-15,17 May 15,Secret of attracting dinabandu into our hearts
755,2017-05-13_Japa Talk_Material desires and false shelters keep us away from surrender and dependence on Krishna_HG RSP.mp3,2017-05-13,17 May 13,Material desires and false shelters keep us away from surrender and dependence on Krishna
756,2017-05-12_Japa Talk_What stops us from surrendering and deponding on Krishna_HG RSP.mp3,2017-05-12,17 May 12,What stops us from surrendering and deponding on Krishna
757,"2017-05-09_Japa Talk_Is GOD inaccessible,unapproachable and unintellegible_HG RSP.mp3",2017-05-09,17 May 09,"Is GOD inaccessible,unapproachable and unintellegible"
758,2017-05-01_Japa Talk_The essence of sharanagati taught in gadyatrayam by Ramanuja_HG RSP.mp3,2017-05-01,17 May 01,The essence of sharanagati taught in gadyatrayam by Ramanuja
759,"2017-04-30_Japa Talk_Gram,Naam,Dham_HG RSP.mp3",2017-04-30,17 Apr 30,"Gram,Naam,Dham"
760,"2017-04-07_Japa Talk_The glory of Shelter,servitorship and service to supreme Lord Krsna_HG RSP.mp3",2017-04-07,17 Apr 07,"The glory of Shelter,servitorship and service to supreme Lord Krsna"
761,2017-04-06_Japa Talk_A way to defeat lower modes_HG RSP.mp3,2017-04-06,17 Apr 06,A way to defeat lower modes
762,2017-04-05_Japa Talk_2 Benefits of Studying Ramayana_HG RSP.mp3,2017-04-05,17 Apr 05,2 Benefits of Studying Ramayana
763,2017-04-03_Japa Talk_The Primary and secondary qualities of a devotee_HG RSP.mp3,2017-04-03,17 Apr 03,The Primary and secondary qualities of a devotee
764,2017-03-31_Japa Talk_Results of associating with material name and spiritual name_HG RSP.mp3,2017-03-31,17 Mar 31,Results of associating with material name and spiritual name
765,2017-03-30_Japa Talk_The 2 Trascendental thoughts that awakens love for Krishna_HG RSP.mp3,2017-03-30,17 Mar 30,The 2 Trascendental thoughts that awakens love for Krishna
766,"2017-03-29_Japa Talk_Sins arise due to  senses under use,over use,probhited use or abusing them to harm others_HG RSP.mp3",2017-03-29,17 Mar 29,"Sins arise due to  senses under use,over use,probhited use or abusing them to harm others"
767,2017-03-27_Japa Talk_Keeping ourselves on the rigth track_HG RSP.mp3,2017-03-27,17 Mar 27,Keeping ourselves on the rigth track
768,2017-02-28_Japa Talk_Sri Radhas glance is our saving grace_HG RSP.mp3,2017-02-28,17 Feb 28,Sri Radhas glance is our saving grace
769,2017-02-22_Darvad_Japa Talk_Two things to avoid For a swift and smooth progress in Krishna Consciousness_HG RSP.mp3,2017-02-22,17 Feb 22,Two things to avoid For a swift and smooth progress in Krishna Consciousness
770,2017-02-21_Darvad_Japa Talk_Practical steps to avoid 10 offences_HG RSP.mp3,2017-02-21,17 Feb 21,Practical steps to avoid 10 offences
771,2017-02-08_ICC Benguluru_Japa Talk_ Special mercy for followers of Lord Nityanand Pr_HG RSP.mp3,2017-02-08,17 Feb 08, Special mercy for followers of Lord Nityanand Pr
772,2016-11-10_Tulani_Japa Talk_Blow on the boil or cure the boil_HG RSP.mp3,2016-11-10,16 Nov 10,Blow on the boil or cure the boil
773,2016-10-13_Kolkata_Japa Talk_Snap shot of Conditioned soul and pure devotee mind_HG RSP.mp3,2016-10-13,16 Oct 13,Snap shot of Conditioned soul and pure devotee mind
774,2016-10-12_Kolkata_Japa Talk_How to make our mind steady in chanting_HG RSP.mp3,2016-10-12,16 Oct 12,How to make our mind steady in chanting
775,2016-10-11_Kolkata_Japa Talk_Sending Lord far away or welcoming Lord back  is in our hands only_HG RSP.mp3,2016-10-11,16 Oct 11,Sending Lord far away or welcoming Lord back  is in our hands only
776,2016-10-10_Kolkata_Japa Talk_How can we bathe our souls in bliss_HG RSP.mp3,2016-10-10,16 Oct 10,How can we bathe our souls in bliss
777,2016-10-05_Japa Talk_Krishna - The ulimate purifier_HG RSP.mp3,2016-10-05,16 Oct 05,Krishna - The ulimate purifier
778,2016-09-29_Japa Talk_Constant dependence on Krishna_HG RSP.mp3,2016-09-29,16 Sep 29,Constant dependence on Krishna
779,2016-09-28_Japa Talk_Shelter that makes easy to take mind away from  opulence and poverty _HG RSP.mp3,2016-09-28,16 Sep 28,Shelter that makes easy to take mind away from  opulence and poverty 
780,2016-09-27_Japa Talk_How to feel our dependence on Krsna_HG RSP.mp3,2016-09-27,16 Sep 27,How to feel our dependence on Krsna
781,2016-09-26_Japa Talk_Art of taking shelter of internal potency_HG RSP.mp3,2016-09-26,16 Sep 26,Art of taking shelter of internal potency
782,2016-09-25_Japa Talk_Methods of realising ourselves from material bondage_HG RSP.mp3,2016-09-25,16 Sep 25,Methods of realising ourselves from material bondage
783,2016-09-22_Kolkata_Japa Talk_The Easy Way to draw Lord Hari's grace_HG RSP.mp3,2016-09-22,16 Sep 22,The Easy Way to draw Lord Hari's grace
784,2016-09-21_Kolkata_Japa Talk_Reognizing Pain giving potency and pleasure giving potency_HG RSP.mp3,2016-09-21,16 Sep 21,Reognizing Pain giving potency and pleasure giving potency
785,2016-09-20_Kolkata_Japa Talk_Holy Name even when chanted unknowingly or unintentionally exerts its force in uplifting the soul_HG RSP.mp3,2016-09-20,16 Sep 20,Holy Name even when chanted unknowingly or unintentionally exerts its force in uplifting the soul
786,"2016-09-19_Kolkata_Japa Talk_Due to desire to enjoy impurely our senses, mind and intelligence we are entrapped in this material world_HG RSP.mp3",2016-09-19,16 Sep 19,"Due to desire to enjoy impurely our senses, mind and intelligence we are entrapped in this material world"
787,2016-08-28_Japa Talk_Power of spiritual sound to bestow the best gift in our life_HG RSP.mp3,2016-08-28,16 Aug 28,Power of spiritual sound to bestow the best gift in our life
788,2016-08-27_Japa Talk_When can want for Krsna be well rounded and not be mere hallucination_HG RSP.mp3,2016-08-27,16 Aug 27,When can want for Krsna be well rounded and not be mere hallucination
789,2016-08-21_Japa Talk_Fear of maya and awakening of bhakti for Krsna can bring the presence of Krnsa in our heart_HG RSP.mp3,2016-08-21,16 Aug 21,Fear of maya and awakening of bhakti for Krsna can bring the presence of Krnsa in our heart
790,2016-08-20_Japa Talk_Auspicious consequences of Krishna's appearance in the dark cave of our heart_HG RSP.mp3,2016-08-20,16 Aug 20,Auspicious consequences of Krishna's appearance in the dark cave of our heart
791,2016-08-15_Japa Talk_The root cause of why a heart is stubborn and  without soft  feeling for Krishna_HG RSP.mp3,2016-08-15,16 Aug 15,The root cause of why a heart is stubborn and  without soft  feeling for Krishna
792,2016-08-10_AIT Voice_Japa Talk_Our beliefs attitudes and thoughts decide our rapt attention in chanting_HG RSP.mp3,2016-08-10,16 Aug 10,Our beliefs attitudes and thoughts decide our rapt attention in chanting
793,2016-08-09_SAE Voice_Japa Talk_Symptoms of spiritual advancement- removal of anarthas and blossoming of 4 auspicious qualities_HG RSP.mp3,2016-08-09,16 Aug 09,Symptoms of spiritual advancement- removal of anarthas and blossoming of 4 auspicious qualities
794,2016-08-06_GGD Voice_Japa Talk_Preparing background consciousness for making chanting easy_HG RSP.mp3,2016-08-06,16 Aug 06,Preparing background consciousness for making chanting easy
795,2016-08-05_Japa Talk_Eyes of love attained by rapt attention on the holy sound_HG RSP.mp3,2016-08-05,16 Aug 05,Eyes of love attained by rapt attention on the holy sound
796,2016-08-03_Japa Talk_Fill up the holes with Supreme Whole for complete satifaction_HG RSP.mp3,2016-08-03,16 Aug 03,Fill up the holes with Supreme Whole for complete satifaction
797,"2016-08-02_Japa Talk_If you Sincerely search after Krsna,Krsna will definetly reveal to Himself to you_HG RSP.mp3",2016-08-02,16 Aug 02,"If you Sincerely search after Krsna,Krsna will definetly reveal to Himself to you"
798,2016-07-08_Japa Talk_Learning the stages of surrender and enhancing the quality of chanting holy names_HG RSP.mp3,2016-07-08,16 Jul 08,Learning the stages of surrender and enhancing the quality of chanting holy names
799,2016-07-07_Japa Talk_3 Things for getting Krishna's help_HG RSP.mp3,2016-07-07,16 Jul 07,3 Things for getting Krishna's help
800,2016-07-06_Japa Talk_Dissipating cloud like anarthas and mislike ignorance_HG RSP.mp3,2016-07-06,16 Jul 06,Dissipating cloud like anarthas and mislike ignorance
801,2016-07-05_GGD_Japa Talk_Creating a favourable climate_HG RSP.mp3,2016-07-05,16 Jul 05,Creating a favourable climate
802,2016-07-04_Japa Talk_Who is vaishanav_HG RSP.mp3,2016-07-04,16 Jul 04,Who is vaishanav
803,2016-07-02_Japa Talk_Drashan of lord means - Eyes tinged with love and heart filled with seva bhava_HG RSP.mp3,2016-07-02,16 Jul 02,Drashan of lord means - Eyes tinged with love and heart filled with seva bhava
804,"2016-12-16_Japa Talk_How does the acquisition of knowledge,chanting of the holy name choke the creeper of Love of God_HG RSP.mp3",2016-12-16,16 Dec 16,"How does the acquisition of knowledge,chanting of the holy name choke the creeper of Love of God"
805,2016-12-15_Japa Talk_Why does our knowledge of scriptures or chanting of japa not produce spiritual awakening_HG RSP.mp3,2016-12-15,16 Dec 15,Why does our knowledge of scriptures or chanting of japa not produce spiritual awakening
806,2016-12-11_Japa Talk_Why should one offer bhakti only through the agency of guru_HG RSP.mp3,2016-12-11,16 Dec 11,Why should one offer bhakti only through the agency of guru
807,2016-12-05_Japa Talk_why do we feel Krishna's holy name to be bitter_HG RSP.mp3,2016-12-05,16 Dec 05,why do we feel Krishna's holy name to be bitter
808,2016-12-03_Japa Talk_ The 3 powerful distractors and way to rise above them_HG RSP.mp3,2016-12-03,16 Dec 03, The 3 powerful distractors and way to rise above them
809,2016-11-28_Japa Talk_Uprooting the root of all suffering_HG RSP.mp3,2016-11-28,16 Nov 28,Uprooting the root of all suffering
810,2016-11-13_Japa Talk_Guru Krpa-markata nyaya aur marja ka nyaya_HG RSP.mp3,2016-11-13,16 Nov 13,Guru Krpa-markata nyaya aur marja ka nyaya
811,2016-11-10_Tulani_Japa Talk_Blow on the boil or cure the boil_HG RSP.mp3,2016-11-10,16 Nov 10,Blow on the boil or cure the boil
812,2016-11-09_GGD_Japa Talk_ Regulation and Determination can help us attain focus in chanting_HG RSP.mp3,2016-11-09,16 Nov 09, Regulation and Determination can help us attain focus in chanting
813,2016-11-08_Japa Talk_Realizing our sambandha with the lord and situation in this world_HG RSP.mp3,2016-11-08,16 Nov 08,Realizing our sambandha with the lord and situation in this world
814,2016-11-07_Japa Talk_The greatest treasure in Krsna's treasurey_HG RSP.mp3,2016-11-07,16 Nov 07,The greatest treasure in Krsna's treasurey
815,2016-10-16_Kolkata_Japa Talk_Detaching mind from sense gratification is not enough for calling out the holyname_HG RSP.mp3,2016-10-16,16 Oct 16,Detaching mind from sense gratification is not enough for calling out the holyname
816,2016-10-15_Kolkata_Japa Talk_Avoiding the 5 potential disturbers which agitate the mind making it unsteady_HG RSP.mp3,2016-10-15,16 Oct 15,Avoiding the 5 potential disturbers which agitate the mind making it unsteady
817,2016-10-14_Kolkata_Japa Talk_5 Austries of mind that can easily make the mind steady and focussed_HG RSP.mp3,2016-10-14,16 Oct 14,5 Austries of mind that can easily make the mind steady and focussed
818,2016-01-31_Japa Talk_Accessing the Manifestations of swift sweetness through manifestation of Supreme compassion_HG RSP.mp3,2016-01-31,16 Jan 31,Accessing the Manifestations of swift sweetness through manifestation of Supreme compassion
819,2016-01-25_Japa Talk_Steps leading to concentration and steady rememberance of Krsna_HG RSP.mp3,2016-01-25,16 Jan 25,Steps leading to concentration and steady rememberance of Krsna
820,2016-01-24_Japa Talk_The three essential themes of the sixty four principles of the RupaGoswami for improving the quality of the holy name_HG RSP.mp3,2016-01-24,16 Jan 24,The three essential themes of the sixty four principles of the RupaGoswami for improving the quality of the holy name
821,2016-01-14_Japa Talk_Rising our vision beyond temporary phenomenon_HG RSP.mp3,2016-01-14,16 Jan 14,Rising our vision beyond temporary phenomenon
822,2016-01-12_Japa Talk_The difference between Material Manorath and Spiritual Manorath_HG RSP.mp3,2016-01-12,16 Jan 12,The difference between Material Manorath and Spiritual Manorath
823,2016-01-10_Japa Talk_Krsna also calls the names of His devotees_HG RSP.mp3,2016-01-10,16 Jan 10,Krsna also calls the names of His devotees
824,"2016-01-09_Japa Talk_Search and you shall see Krsna,endeavour and you will get Krsna_HG RSP.mp3",2016-01-09,16 Jan 09,"Search and you shall see Krsna,endeavour and you will get Krsna"
825,2016-01-08_Japa Talk_A humble prayer for awakewning Lord in our heart _HG RSP.mp3,2016-01-08,16 Jan 08,A humble prayer for awakewning Lord in our heart 
826,2016-06-17_Japa Talk_Recieveing and Reciprocating with Krishna's name_HG RSP.mp3,2016-06-17,16 Jun 17,Recieveing and Reciprocating with Krishna's name
827,2016-06-12_Japa Talk_Amanina manadena - Offering respects without anticipating honour_HG RSP.mp3,2016-06-12,16 Jun 12,Amanina manadena - Offering respects without anticipating honour
828,2016-06-11_Japa Talk_Taror api sahisnuna - 2 aspects of Tolerance_HG RSP.mp3,2016-06-11,16 Jun 11,Taror api sahisnuna - 2 aspects of Tolerance
829,2016-06-10_Japa Talk_Trnad api sunicena - Quality leading to Humility_HG RSP.mp3,2016-06-10,16 Jun 10,Trnad api sunicena - Quality leading to Humility
830,2016-06-05_Japa Talk_How Krsna can remain ever fresh object and never_HG RSP.mp3,2016-06-05,16 Jun 05,How Krsna can remain ever fresh object and never
831,2016-05-22_Japa Talk_Concious awareness of offering to Lord can give a infinite leap in Krishna Conscious progress_HG RSP.mp3,2016-05-22,16 May 22,Concious awareness of offering to Lord can give a infinite leap in Krishna Conscious progress
832,2016-05-21_Japa Talk_An easy solution to rise above sin and effect_HG RSP.mp3,2016-05-21,16 May 21,An easy solution to rise above sin and effect
833,2016-05-14_Rupavrinda Camp_Japa Talk_Transforming our vision from Virat Rupa to Svarup_HG RSP.mp3,2016-05-14,16 May 14,Transforming our vision from Virat Rupa to Svarup
834,2016-05-13_Rupavrinda Camp_Japa Talk_how can a dusty village can turn up divine spiritual abode_HG RSP.mp3,2016-05-13,16 May 13,how can a dusty village can turn up divine spiritual abode
835,2016-05-08_Japa Talk_Two qualifications in uttering the holy name which can awaken love in hippies and even in jungle animals_HG RSP.mp3,2016-05-08,16 May 08,Two qualifications in uttering the holy name which can awaken love in hippies and even in jungle animals
836,2016-04-15_Japa Talk_Learning to remember the holy name constantly from Sita Maata_HG RSP.mp3,2016-04-15,16 Apr 15,Learning to remember the holy name constantly from Sita Maata
837,"2016-03-20_Japa Talk_Practical solutions for avoiding diversions,laziness and inattention and to call  holy name with a prayerful mood_HG RSP.mp3",2016-03-20,16 Mar 20,"Practical solutions for avoiding diversions,laziness and inattention and to call  holy name with a prayerful mood"
838,2016-03-19_Japa Talk_When can a new born baby cross ocean infested with crocodiles_HG RSP.mp3,2016-03-19,16 Mar 19,When can a new born baby cross ocean infested with crocodiles
839,2016-03-06_Japa Talk_Guru changes our id by bestowing the holy name-Identity and doubts_HG RSP.mp3,2016-03-06,16 Mar 06,Guru changes our id by bestowing the holy name-Identity and doubts
840,2016-02-28_Japa Talk_Seeing things as they are by situating ourselves on fourth dimension_HG RSP.mp3,2016-02-28,16 Feb 28,Seeing things as they are by situating ourselves on fourth dimension
841,2016-02-23_Japa Talk_What Is Required To Ensure Continued Presence Of The Lord_HG RSP.mp3,2016-02-23,16 Feb 23,What Is Required To Ensure Continued Presence Of The Lord
842,2015-12-28_Japa Talk_Preparing the mind to be cheerful and joyful for full concentration_HG RSP.mp3,2015-12-28,15 Dec 28,Preparing the mind to be cheerful and joyful for full concentration
843,2015-10-22_Hyd Yoga_Japa Talk_The heart behind the lips_HG RSP.mp3,2015-10-22,15 Oct 22,The heart behind the lips
844,2015-10-12_Japa Talk_Krishna's attention is drawn by our persistent efforts to chant the holyname seeking His shelter_HG RSP.mp3,2015-10-12,15 Oct 12,Krishna's attention is drawn by our persistent efforts to chant the holyname seeking His shelter
845,2015-10-05_Japa Talk_The Special gifts offered by different limbs of the lord for the benefit of devotee_HG RSP.mp3,2015-10-05,15 Oct 05,The Special gifts offered by different limbs of the lord for the benefit of devotee
846,2015-09-13_Japa Talk_The best method to destroy material desires and awaken spiritual desires_HG RSP.mp3,2015-09-13,15 Sep 13,The best method to destroy material desires and awaken spiritual desires
847,2015-08-29_Japa Talk_Meditating on glories of Balaramaji_HG RSP.mp3,2015-08-29,15 Aug 29,Meditating on glories of Balaramaji
848,2015-08-09_Japa Talk_The two sublime qualities in a Devotee that Melts the Heart of the Supreme Lord_HG RSP.mp3,2015-08-09,15 Aug 09,The two sublime qualities in a Devotee that Melts the Heart of the Supreme Lord
849,2015-07-26_Japa Talk_What makes Agyat Sukruti into Bhaktyonmukh Sukruti_HG RSP.mp3,2015-07-26,15 Jul 26,What makes Agyat Sukruti into Bhaktyonmukh Sukruti
850,2015-07-23_Japa Talk_Steps to Realize Absolute Truth and Achive Love for Krishna_HG RSP.mp3,2015-07-23,15 Jul 23,Steps to Realize Absolute Truth and Achive Love for Krishna
851,2015-12-27_Japa Talk_The right conception and the consciousness necessary to quickly attract the phase of holy name_HG RSP.mp3,2015-12-27,15 Dec 27,The right conception and the consciousness necessary to quickly attract the phase of holy name
852,2015-12-26_Japa Talk_The bigger and the smaller circle of concentration on the holy name_HG RSP.mp3,2015-12-26,15 Dec 26,The bigger and the smaller circle of concentration on the holy name
853,2015-12-25_Japa Talk_How to attain a steady mind_HG RSP.mp3,2015-12-25,15 Dec 25,How to attain a steady mind
854,"2015-12-21_Japa Talk_Mood,Mentality and Mindset for gaining the shelter of the holy name_HG RSP.mp3",2015-12-21,15 Dec 21,"Mood,Mentality and Mindset for gaining the shelter of the holy name"
855,2015-12-19_AIT_Japa Talk_The royal path that transcends religious formalaries_HG RSP.mp3,2015-12-19,15 Dec 19,The royal path that transcends religious formalaries
856,2015-12-12_Japa Talk_Attaining the right attitude of dasya bhava for purification_HG RSP.mp3,2015-12-12,15 Dec 12,Attaining the right attitude of dasya bhava for purification
857,2015-12-11_Japa Talk_Secret of Intense Service Attitude_HG RSP.mp3,2015-12-11,15 Dec 11,Secret of Intense Service Attitude
858,2015-12-10_Japa Talk_Spiritual Sound vs Material Sound_HG RSP.mp3,2015-12-10,15 Dec 10,Spiritual Sound vs Material Sound
859,2015-12-06_Japa Talk_Krishna approves the techniques offered by Pure devotees_HG RSP.mp3,2015-12-06,15 Dec 06,Krishna approves the techniques offered by Pure devotees
860,"2015-12-05_Japa Talk_How do we conquer the impure senses, enemies and the vicious kings, the three gunas_HG RSP.mp3",2015-12-05,15 Dec 05,"How do we conquer the impure senses, enemies and the vicious kings, the three gunas"
861,2015-11-01_Japa Talk_Prayers after chanting to improve the quality of tomorrows chanting_HG RSP.mp3,2015-11-01,15 Nov 01,Prayers after chanting to improve the quality of tomorrows chanting
862,2015-10-31_Japa Talk_Win the tug of war by making the right choice_HG RSP.mp3,2015-10-31,15 Oct 31,Win the tug of war by making the right choice
863,2015-10-30_RVC_Japa Talk_Reinforce seva thoughts and Screen out thoughts of enjoyment_HG RSP.mp3,2015-10-30,15 Oct 30,Reinforce seva thoughts and Screen out thoughts of enjoyment
864,2015-01-03_Japa Talk_Lord Siva teaches Pracetas in Rudra gitam on how we should offer ourselves to Supreme Lord_HG RSP.mp3,2015-01-03,15 Jan 03,Lord Siva teaches Pracetas in Rudra gitam on how we should offer ourselves to Supreme Lord
865,"2015-03-28_Japa Talk_Krsna appears as archavatara to purify the neophytes, to bestow krsna prema upon perfected beings and exchange loving pastimes with His premi bhakthas_HG RSP.mp3",2015-03-28,15 Mar 28,"Krsna appears as archavatara to purify the neophytes, to bestow krsna prema upon perfected beings and exchange loving pastimes with His premi bhakthas"
866,"2015-03-27_Japa Talk_Chanting of holy name is divyam, vishuddham, durbhodam and leads to amrutatvam_HG RSP.mp3",2015-03-27,15 Mar 27,"Chanting of holy name is divyam, vishuddham, durbhodam and leads to amrutatvam"
867,2015-03-23_Japa Talk_Answer to Prahlad Maharaj's question_HG RSP.mp3,2015-03-23,15 Mar 23,Answer to Prahlad Maharaj's question
868,2015-02-09_Japa Talk_The process of purifying mind and strengthening Krishna's element_HG RSP.mp3,2015-02-09,15 Feb 09,The process of purifying mind and strengthening Krishna's element
869,2015-01-28_Japa Talk_The Lord whose darshan is even rare for pure souls agrees to appear by the sincere prayer of struggling sadhaka_HG RSP.mp3,2015-01-28,15 Jan 28,The Lord whose darshan is even rare for pure souls agrees to appear by the sincere prayer of struggling sadhaka
870,2015-01-24_Japa Talk_The right attitude of king Nabhi's priest in glorifying the Supreme Lord_HG RSP.mp3,2015-01-24,15 Jan 24,The right attitude of king Nabhi's priest in glorifying the Supreme Lord
871,2015-01-17_Japa Talk_The four qualities that can protect and grow the tiny spark of attraction for Krsna_HG RSP.mp3,2015-01-17,15 Jan 17,The four qualities that can protect and grow the tiny spark of attraction for Krsna
872,2015-01-16_Japa Talk_The glorious results of service to the Lotus feet of Lord_HG RSP.mp3,2015-01-16,15 Jan 16,The glorious results of service to the Lotus feet of Lord
873,2015-01-12_Japa Talk_The root identity that produces the right mental absorption_HG RSP.mp3,2015-01-12,15 Jan 12,The root identity that produces the right mental absorption
874,2015-01-04_Japa Talk_Four steps for swift advancement in bhakti yoga_HG RSP.mp3,2015-01-04,15 Jan 04,Four steps for swift advancement in bhakti yoga
875,2015-06-28_Japa Talk_How to offer our everyday japa Prayerfully_HG RSP.mp3,2015-06-28,15 Jun 28,How to offer our everyday japa Prayerfully
876,2015-06-27_Japa Talk_Mind absorbed in Krsna will not undergo birth and death_HG RSP.mp3,2015-06-27,15 Jun 27,Mind absorbed in Krsna will not undergo birth and death
877,2015-06-12_Japa Talk_Recognizing Krishna's Reciprocation_HG RSP.mp3,2015-06-12,15 Jun 12,Recognizing Krishna's Reciprocation
878,2015-06-12_Japa Talk_Why can't i Feel Presence of Krishna in my Chanting_HG RSP.mp3,2015-06-12,15 Jun 12,Why can't i Feel Presence of Krishna in my Chanting
879,2015-06-11_Japa Talk_Practical Tips for increasing Concentration On Holy Name_HG RSP.mp3,2015-06-11,15 Jun 11,Practical Tips for increasing Concentration On Holy Name
880,2015-06-10_Japa Talk_When do our endeavour attracts Krishna's reciprocation_HG RSP.mp3,2015-06-10,15 Jun 10,When do our endeavour attracts Krishna's reciprocation
881,2015-06-06_Japa Talk_The various impetuses for calling out the holy names attentively_HG RSP.mp3,2015-06-06,15 Jun 06,The various impetuses for calling out the holy names attentively
882,"2015-06-05_Japa Talk_The Difficult to remove purva-samskaras, papa-karmaphalas and kleshas are very easy for holy name to cleanse by our sincere and attentive call_HG RSP.mp3",2015-06-05,15 Jun 05,"The Difficult to remove purva-samskaras, papa-karmaphalas and kleshas are very easy for holy name to cleanse by our sincere and attentive call"
883,"2015-06-04_Japa Talk_How to detach our mind from pretty commodities and develop attachment for the priceless commodity, Krishna_HG RSP.mp3",2015-06-04,15 Jun 04,"How to detach our mind from pretty commodities and develop attachment for the priceless commodity, Krishna"
884,2015-06-03_Japa Talk_How to become attentive when mind keeps orbitting around foolishly what it imagines to be artha_HG RSP.mp3,2015-06-03,15 Jun 03,How to become attentive when mind keeps orbitting around foolishly what it imagines to be artha
885,2015-06-02_Japa Talk_Krishna descends from a spiritual plane to material plane when devotee cries out for Sevabhava_HG RSP.mp3,2015-06-02,15 Jun 02,Krishna descends from a spiritual plane to material plane when devotee cries out for Sevabhava
886,2015-06-01_Japa Talk_The Balm for the Burnt_HG RSP.mp3,2015-06-01,15 Jun 01,The Balm for the Burnt
887,2015-05-31_Japa Talk_Recognizing the difference between material and spiritual items_HG RSP.mp3,2015-05-31,15 May 31,Recognizing the difference between material and spiritual items
888,2015-05-30_Japa Talk_The Right Outlook that can drastically enhance the quality of chanting_HG RSP.mp3,2015-05-30,15 May 30,The Right Outlook that can drastically enhance the quality of chanting
889,2015-05-29_Japa Talk_The key to realize transcedental nature of Krishna and His Holy Names_HG RSP.mp3,2015-05-29,15 May 29,The key to realize transcedental nature of Krishna and His Holy Names
890,2015-05-28_Japa Talk_Absorption is the key to advancement_HG RSP.mp3,2015-05-28,15 May 28,Absorption is the key to advancement
891,2015-05-03_Japa Talk_Prahlada's Program for going back to Godhead_HG RSP.mp3,2015-05-03,15 May 03,Prahlada's Program for going back to Godhead
892,2015-05-02_Japa Talk_When dose chanting of Holy Name produce kuti nati tendencies in us_HG RSP.mp3,2015-05-02,15 May 02,When dose chanting of Holy Name produce kuti nati tendencies in us
893,2014-08-24_Japa Talk_Knowing the universal realities of a peaceful mind to call out the holy name_HG RSP.mp3,2014-08-24,14 Aug 24,Knowing the universal realities of a peaceful mind to call out the holy name
894,2014-08-23_Japa Talk_Cleansing The Mind Can Eradicate Miseries_HG RSP.mp3,2014-08-23,14 Aug 23,Cleansing The Mind Can Eradicate Miseries
895,2014-08-15_Japa Talk_5 types of Vrindavan_HG RSP.mp3,2014-08-15,14 Aug 15,5 types of Vrindavan
896,2014-08-09_Japa Talk_Eternal glorigifcation of Lord by Lord Ananta shesha_HG RSP.mp3,2014-08-09,14 Aug 09,Eternal glorigifcation of Lord by Lord Ananta shesha
897,2014-08-02_Japa Talk_By Wisdom and Example of Vaisnavas Even Fallen Souls Can Be Awakened_HG RSP.mp3,2014-08-02,14 Aug 02,By Wisdom and Example of Vaisnavas Even Fallen Souls Can Be Awakened
898,2014-07-27_Japa Talk_Rising above whimsical playfulness_HG RSP.mp3,2014-07-27,14 Jul 27,Rising above whimsical playfulness
899,2014-07-26_Japa Talk_Awakening Bhakti Bhavana and Subduing Three Modes Can Live to Focus on Holyname_HG RSP.mp3,2014-07-26,14 Jul 26,Awakening Bhakti Bhavana and Subduing Three Modes Can Live to Focus on Holyname
900,2014-07-09_Japa Talk_Holy name can be purchased only by begging_HG RSP.mp3,2014-07-09,14 Jul 09,Holy name can be purchased only by begging
901,2014-07-08_Japa Talk_Basic wisdom before approaching the holy name_HG RSP.mp3,2014-07-08,14 Jul 08,Basic wisdom before approaching the holy name
902,2014-07-06_Japa Talk_The effect of absorption_HG RSP.mp3,2014-07-06,14 Jul 06,The effect of absorption
903,2014-06-29_Japa Talk_The most wanted anxiety_HG RSP.mp3,2014-06-29,14 Jun 29,The most wanted anxiety
904,2014-12-07_Japa Talk_The highest destination to be attained is the place where the nactar of Lord's glorification is flowing_HG RSP.mp3,2014-12-07,14 Dec 07,The highest destination to be attained is the place where the nactar of Lord's glorification is flowing
905,"2014-11-09_Japa Talk_Quality, purity, motivation and consequences of absorption are important_HG RSP.mp3",2014-11-09,14 Nov 09,"Quality, purity, motivation and consequences of absorption are important"
906,"2014-11-02_Japa Talk_Absorption with purity,faith and devotion will manifest Krsna's beautiful form_HG RSP.mp3",2014-11-02,14 Nov 02,"Absorption with purity,faith and devotion will manifest Krsna's beautiful form"
907,2014-10-15_Japa Talk_Know the nature of the world and be peaceful_HG RSP.mp3,2014-10-15,14 Oct 15,Know the nature of the world and be peaceful
908,2014-10-14_Japa Talk_When will theoretical understanding turn into tangible reality as the paper gulab jamun turns into real gulab jamun_HG RSP.mp3,2014-10-14,14 Oct 14,When will theoretical understanding turn into tangible reality as the paper gulab jamun turns into real gulab jamun
909,2014-10-13_Japa Talk_Intelligent devotee is one who can arrange every thing necessary to chant attentively_HG RSP.mp3,2014-10-13,14 Oct 13,Intelligent devotee is one who can arrange every thing necessary to chant attentively
910,2014-10-10_Japa Talk_Method of increasing the taste for the Holy name_HG RSP.mp3,2014-10-10,14 Oct 10,Method of increasing the taste for the Holy name
911,2014-10-09_Japa Talk_Secret of one pointed attention_HG RSP.mp3,2014-10-09,14 Oct 09,Secret of one pointed attention
912,2014-10-08_Japa Talk_Praying for attraction to get attention on Holy name_HG RSP.mp3,2014-10-08,14 Oct 08,Praying for attraction to get attention on Holy name
913,2014-10-06_Japa Talk_Attachment to modes binds the mind-attachment to krsna liberates the mind_HG RSP.mp3,2014-10-06,14 Oct 06,Attachment to modes binds the mind-attachment to krsna liberates the mind
